id;naziv;slika;slika_content_type;pojasnjenje
1;mobile Fish;5472616365;image/png;536176696e6773204163636f756e7420616c61726d
2;Tasty Metal Bacon;486f6d65204c6f616e204163636f756e74;image/png;7765622d72656164696e657373
3;Namibia;4d756c74692d6368616e6e656c6c6564204c6963656e736564;image/png;677265792043616d6272696467657368697265
4;Canyon HDD;656e766973696f6e656572204d75736963205075626c69632d6b6579;image/png;696e666f6d6564696172696573
5;Investment Account;636f707920636f6e76657267656e6365;image/png;4d61796f747465
6;Industrial;636170616369746f722061726368697665;image/png;736b7920626c756520546173747920506c61737469632050697a7a61
7;compress South Georgia and the South Sandwich Islands;62696675726361746564207363616c61626c65;image/png;536d616c6c
8;deliverables reinvent 24 hour;6d6f6e69746f7220313038307020436865636b696e67204163636f756e74;image/png;776f726c642d636c6173732046726f7a656e204942
9;Highway Ergonomic;4e657720596f726b2074616e6769626c65204d69737369737369707069;image/png;46726f7a656e20627573
10;hard drive Robust Networked;536d616c6c20706172746e65727368697073;image/png;4f7574646f6f7273
